file_path,file_role,generated_by_script,input_dependency,file_size_bytes,md5_hash,created_at,status,notes
00_meta/data_sources.csv,metadata,manual,none,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,Verified PMIDs/DOIs + SurfSara 1000G URLs
00_meta/software_versions.csv,metadata,manual,none,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,R 4.3.3 / GCTA 1.95.1 / PLINK 20250819
00_meta/analytical_log.md,log,manual+scripts,none,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,Run log + eqtl extraction command + beta/se derivation note
02_tshr_finemap/data/eqtl_TSHR_all.csv,raw_input,manual_extraction,eQTLGen_full_sumstats,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,CRITICAL ORIGIN. rs179252 effect=G other=T. 7309 variants.
02_tshr_finemap/data/TSHR_eqtlgen_locus.ma,intermediate,taskB_03_helper_make_ma.R,eqtl_TSHR_all.csv + EUR_chr14_freq.frq,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,COJO input. eaf from 1000G EUR.
02_tshr_finemap/data/EUR_chr14_freq.frq,reference,plink --freq,1000G_EUR_phase3,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,Used for beta/se derivation
02_tshr_finemap/data/EAS_chr14_freq.frq,reference,plink --freq,1000G_EAS_phase3,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,EAS allele frequencies
02_tshr_finemap/results/TaskB_00_ld_reference_metadata_v1.csv,result,manual,none,729,TBD_by_Gemini,TBD,VERIFY_CONTENT,LD reference documentation - Claude to verify content
02_tshr_finemap/results/TaskB_01_tshr_locus_extraction_v1.tsv,result,taskB_01_locus_extract.R,eqtl_TSHR_all.csv,716136,TBD_by_Gemini,TBD,verified,7309 variants. Claude-verified.
02_tshr_finemap/results/TaskB_02_ld_clumping_sensitivity_v1.csv,result,taskB_02_ld_clumping.R,TaskB_01 + 1000G refs,1296,TBD_by_Gemini,TBD,VERIFY_CONTENT,12-cell sensitivity - Claude to verify content
02_tshr_finemap/results/TaskB_03_tshr_cojo_independent_signals_v1.tsv,result,taskB_03_gcta_cojo.sh,TSHR_eqtlgen_locus.ma + 1000G refs,3088,TBD_by_Gemini,TBD,verified,19 signals. other_allele restored. Claude-verified.
02_tshr_finemap/results/TaskB_04_tshr_susie_credible_sets_v1.tsv,result,taskB_04_susie_finemap.R,TaskB_01 + 1000G refs,503,TBD_by_Gemini,TBD,verified,4 CS all collinear. Claude-verified.
02_tshr_finemap/results/TaskB_05_tshr_finemap_summary_v1.csv,result,taskB_05_integration.R,TaskB_03 + TaskB_04,3542,TBD_by_Gemini,TBD,verified,21 rows. 0 usable IVs. Claude-verified.
01_pqtl_check/results/TaskA_01_pqtl_availability_v1.csv,result,taskA_01_pqtl_check.R,none(panel files missing),TBD_by_Gemini,TBD_by_Gemini,TBD,pending,8 cells pending - Week 2 Day 1
03_decision/TaskC_decision_table_v1.csv,decision,manual,all TaskB results,1083,TBD_by_Gemini,TBD,verified,Claude-verified
03_decision/TaskC_pre_analysis_plan_v1.md,decision,manual,all TaskB results,2516,TBD_by_Gemini,TBD,locked,Pre-registered - prevents cherry-picking. DO NOT edit after Week 2 starts.
03_decision/TaskC_week1_summary_memo.md,decision,manual,all results,2295,TBD_by_Gemini,TBD,verified,Claude-verified
WEEK1_MANIFEST.md,documentation,Claude,all,6679,TBD_by_Gemini,TBD,locked,Single-page recovery reference
WEEK1_RESULTS_consolidated.csv,documentation,Claude,all TaskB results,TBD_by_Gemini,TBD_by_Gemini,TBD,locked,Future Supp Table source. Includes allele-direction audit.
